,Sentence
1059,great comfort great value
7812,silly shoelaces
3798,nice shoe good value
5498,great tennis shoes
2752,super comfy
5304,stylish
8138,ultimate comfort for a new runner
896,not enough support for actual exercise
7582,mismatched nikes
4404,run run
6044,decent shoe not quite as good as my last under armor pair
3285,watch out
532,disappointing
1945,that it fits and it’s like i went to the shoe stores instead of amazon
6309,comfort and style
3629,husbands shoes
2553,great shoe for troubled feet
2426,just looking and feeling the product
5377,the shoe i ve been searching for
2038,good wide shoe
6199,extremely comfortable as promised
8190,nice sneaks
5335,amazingly comfortable and light sneakers
28,it’s like a comfort pod for your foot
2084,great running and walking shoe
4649,looks good and comfortable
1603,comfort and support is lacking
853,great for price
6275,image selection doesn t match color description
429,tie it tight because they tend towards slipping off the heel
6594,not satisfied with this brand at all
509,run small have full tie laces
1612,tread peeling off already
643,easy to slip on for everyday tasks
2287,almost fit
1033,love these shoes will be a repeat buyer
2365,sole is much smaller than expected not comfortable at all
8112,comfortable
7248,comfort
7023,super comfortable and supportive
3277,pretty shoe but too narrow
2371,too big up front foot swimming
7592,smh
5383,happy feet
3152,used
4889,heel digs into my achilles area
3740,good tennis shoes
7775,these are great but they don t last too long with daily use
2173,broke before i ever put them on lace eyelets are weak
1841,nice
4657,uncomfortable
8156,solid shoe bit larger than normal
2318,try before you buy
4104,too tough strong on your ankel
1251,nice
6654,comfortable but the don’t last
6878,too small
2355,resbalan
1727,it’s a great shoe
4227,comfort and fit
2473,tight toe box
4952,times are changing
7213,love these sneakers
3164,poor quality
576,not icy blue
3518,run a little small
5972,be aware of limitations
831,don t last a month don t buy
1117,great shoe
5506,like walking on a cloud
5890,too large in arch
3230,not comfortable at all
4919,great shoe
3089,fit different than other asics venture
561,years later review don t last long in my opinion
790,cheap
2617,very good
2606,great shoe for waking
5457,walking and running on clouds
785,cute but not for exercise
5530,will not disappoint
4756,comfortable shoes tore a bit too early but customer service was superb and offered replacement
1857,very pleased have been wearing them for months now
4902,not new but still good shoes
765,good for the price
8463,really poor sizing
2107,nan
2320,poor heel cushioning
648,impossible to get on your foot
1046,keeping the assert running shoes
7215,perfect
269,on clouds
6305,amazing shoes great
7332,these are everything
5761,nice shoes
3512,its gray not black
3892,sloppy stitching but comfortable shoe
8153,very comfortable for long walks running
6855,shoe eyehole ripped
5049,tan small
1225,great shoes
3913,not the best quality run small
8572,order a size up
448,great lightweight shoe
2192,well crafted but incorrect size
6767,shoe is not the color advertised
4993,fabric tearing already
4686,running shoes
8374,not as ordered
1352,happy
523,look the same but
916,not happy with my return
7871,is this the perfect shoe yes
1755,great shoe
944,these are slip on s
8402,not bad but okay for the price
4393,poor quality or bad design update
3359,good for gym workouts would not use for running
2076,great 👍
7522,i m normall a size i eded up with a
6371,fit really good
8069,great shoes
4074,way too narrow
3899,don t bother it s a terrible shoe
3545,very comfortable
6018,almost perfect
4318,a little tight in width
3029,these are not wide width
5711,these are slip ons
1838,the best
7794,hospital hard floors work shoe
1015,pretty good
960,not for wide width feet
5993,don’t hold up
4008,good show crap insole
927,not good for walking running support
2933,thin front soles lack cushion
7621,runs small
2145,great shoe for price
2788,ok shoe but run narrow
5863,runs really small i wear a usa size order a didn t fit
4917,horrible garbage
8120,perfect fit
4835,a little different than the last ghost
7158,i love these sneakers
67,more for fashion not heavy walking use
2015,fits good
7741,a comfortable asic shoe
4115,they will be a tight fit
198,very happy with my purchase highly recommend and will purchase again
1825,supportive and lightweight
6563,poorly made
6083,they are exact fitting shoes and super comfy
6560,look great but that’s about it
4243,three stars
5157,good nurse shoes
2740,comfortable shoe
7793,perfect for a wide foot
7392,nike kids tanjun ps running shoe
4931,fitting and quality issues
5652,not very durable
4277,shoes are not true to size
8532,nice looking shoe
6462,perfect
8655,upset
2681,very comfortable and great support
7141,just right
5543,fits perfect
480,so comfy
2459,true wide sneaker
4807,is all that i expected
5790,slips off your heel no matter what size
6736,don’t buy started bleeding
4469,everything you expect from a pair of brooks
6070,great shoe
1598,try on st
7285,good shoes for good price
2029,great sneaker at this pricepoint
2880,tldr don t buy unless you only need them for a few days
8311,coming apart
8354,asics gel
2180,not a lot of cushioning
7121,great shoes
4794,brooks must for longer runs walks
8001,cushioned and supportive
419,fits as expected
3742,great shoe
2443,liked the first pair so much i ordered another
6209,my first running shoes excellent choice
431,super comfortable casual shoe
8303,holes months in
866,waste of money
3574,perfect in all aspects
1824,nice sneakers
7893,enjoy walking running on a cloud
3076,uncomfortable
5763,poor quality
7525,runs small narrow
4589,worth the money
4810,very nice looking
3748,bueno
1591,to small
2010,durability
4237,worst shoe i’ve ever worn gave it to goodwill
4530,best shoe
3313,not for narrow feet
642,arch pain
1102,these are alight for the price
5103,good purchase x
154,super cute but size down one
3004,buying shoes online
3979,these things are very tight and uncomfortable i mean cut
3041,not a good sneaker for comfort or walking
1931,great shoe for the money
5307,snug fit
784,not a running shoe
867,these are two sizes too big
6559,bad quality
907,do recommend for fashion not function
5750,falling apart after days of light walking
4741,comfortable
6002,slipping in the heal
3566,great fit
5371,love these shoes
116,comfortable shoes for lots of walking
365,more of a fashion sneaker but great for walking and casual wear not really gym
212,love it
1573,not wide enough
2215,eh
6008,cute design but not for hour shifts
5818,sizing run big
1877,great product
4308,great shoes
2762,i always buy asics
2651,great solid well made shoe
5518,love them
5513,comfort
852,hard time getting them on
770,holes in bottom after months
3870,something is amiss
7394,she said it fits true to size and very comfortable
3508,love it
1331,snickers
7337,real nice shoe
1309,he loves em
333,a little big but comfortable
7054,👍🏻🌟👍🏻🌟👍🏻
5856,not comfortable
2153,toe busters
7328,perfect
5599,careful of the fabric holes
87,they’re pretty good so far
6815,picture does not match up with description
1380,fit as expected
2688,asics women s ge venture running shoes
8689,do not last if used for running
1879,new balance tennis shoes
3273,medium quality asics
4629,great for narrow feet
7980,love these
8052,asics has the best sneakers for me
5089,sized too small
457,soooo cute
4641,great shoes
923,what happened adidas
567,not a fan
816,cushiony sole but lacks in arch support
3130,not like my other asics
7289,very comfortable for walking
7283,comfortable
2347,size
3282,cute but was labeled to help plantar fasciitis
7488,excellent quality and comfort but this seller charges s h and it takes forever for delivery
5320,the most comfortable shoes
1609,runs a half size too small
1782,good for jogging
5618,stylish but uncomfortable
5573,very comfy
7665,three stars
412,perfect for work
3146,came damaged
475,so cute
1078,great sneaker better investment
7820,don t buy this if you need to use custom orthotics
935,knock offs for sure
5448,comfort and style
4002,ok nothing special
5233,already purchases pairs
1868,true to size and comfy
555,fell apart quickly
3506,comfort
3077,ouch ouch ouch the top of my foot
7110,very good
7865,best allround shoes especially for people who use inserts
2343,dirty shoes
2770,very comfortable shoes
5546,good shoe for walking
1391,perfect everyday shoe
4920,new shoes seem to be smaller in size
1415,wow
3575,perfect for aching feet
2058,look great
2304,nope
3395,great buy
750,stylish shoe
1173,great walking shoes
5893,very nice looking but not as comfortable as expected
4048,na
2525,true to size
1539,comfy fits well cheap hard outsole
7602,not red but fit great
3264,one longer than the other
6244,simply perfect
1208,ok
3933,one would think that these sneaker manufacturers would use better insoles
4565,brooks are awesome
3451,very good cushion and support
7835,great shoe and great support
1703,large size is too short
1922,they do run a little small
1995,great for price
4508,be aware that these sizes are way too small
5702,run huge
7742,good shoes
8247,horribe
8568,
3669,best running shoes for neuropathy in the feet
3885,look at this i have wear them for less than a month and the sole is already coming off
3177,don t last long
1402,great design for comfort
6333,worth the price
5830,not true to size
3603,shoes
1162,if you have a wide foot this is for you
4,not fake awesome shoe especially for the cost
2307,too narrow
6998,no break in time comfy for exercise wear out fast
5418,pretty shoes
6128,get it
5676,poor quality
7971,comfortable shoes
455,super comfy and cute
8088,great shoes made well and comfortable
495,fake
5281,muy cómodos lindos
162,best fitting most comfortable walking workout shoes
4283,although i love puma sneakers it appears when i ordered them i
8596,worst running shoes ever
4753,great quality and true fit
2057,will not buy again
71,these run large
5160,good shoes very comfortable
1947,great light weight walking shoe
2527,pretty comfortable
6413,very comforatable seems to run small
5102,great support and light weight for neutral gate
3104,used shoes
3459,heavenly
5240,tight but cute
5373,comfort
6804,poor quality
4289,shoe review
7433,very comfortable
5446,slip on tennis shoes
4245,two stars
6853,good show too high of heel backing
3297,shoes did not fit
3915,very snug toe area
2911,where s the arch
946,comfortable but not durable
5581,not great for working out
3719,nice shoes
6641,shoes size was not the normal size too small
4637,a great shoe that is available in men’s size
3119,ok to walk not to run
7764,should fit any foot well
4163,poor support in front
7714,i love this shoe
1299,perfect
7646,sucks
6237,decent
4785,best shoes ever for my husband
5441,best tennis shoes
1416,ccmfort
7860,snug at first but quickly his favorite shoes
8488,no good
779,lightweight very thin shoes
3756,mike
3847,perfect
6107,a great shoe for working on your feet all day
6598,back of the heel gets damaged and hurts terribly
5218,great but not true to size
6063,great running shoes but not getting good wear
7040,great buy great for nursing
2575,so comfy
6061,un poco grandes
4313,cool
402,so comfy
2551,best quality runner for the price but fits a bit small
7699,not for super active kid
1796,great shoe for the money especially with the off coupon
4017,a size too small pinch
8092,looks great feels right
560,good and bad
8380,break in time is taking longer than expected
5937,fit
3517,this is a great pair of shoes
2471,supportive and comfortable
2941,nice shoe
7989,great product
7972,it’s a good shoe
7579,nice shoes but came with damage sticky goop
4055,very comfortable shoe and fits well
1084,nice shoes for workouts
2561,good shoes
5234,cute
4208,comfortable
3122,cheap shallow no support too wide in toes
6548,not very comfortable at all
7060,comfortable and supportive
7221,and comfortable sneakers i usually need arch supports and even
4023,tight and cheap looking
1730,comfortable shoes
1272,running shoes
915,false advertising
1181,great feeling shoes
1270,lightweight and fast
300,would absolutely purchase again
1114,you can t go wrong with ua shoes
3314,terrible for all terrain walking
4678,great shoes
6423,good tennis shoes
2986,it doesn t like original
712,i would go half size down
8473,wore out after months
3558,solid running basketball shoe
3715,extremely comfortable
7333,good looking
1665,size all over the place this tends to run small
2872,updated review and it s not great
2349,good for this price
4575,awesome shoe
2108,comfortable fitting shoe
7137,looks great
5324,great shoes for walking in greece
4782,great sneaker
7126,my go to toddler shoes
5138,helped with foot and knee pain
239,comfortable cute love them
1293,good shoe good price
2580,as good as the venture ’s
5275,cute
3016,not best quality and charges for returns
2403,comfort with every step
2618,very comfortable
6882,too small
4957,disappointed
7983,¡cómodos
2593,nice
1810,comfortable and looks good
3967,cheap
2408,great sneakers but wide not very wide
4728,perfect
605,too small rd party seller made me pay to get an exchange size
5792,great product will buy again
4529,perfect cushion
2008,live this shoes
181,love this shoe
7896,asics men’s gel venture running shoes
5622,love but don’t last
5695,poor quality good style
873,this shoe is for people with narrow thin feet
8521,shoes look great in the box
3962,no arch support
6943,do not buy
5329,have gotten many compliments
3468,wide synthetic and warm
3229,too wide for a narrow foot
862,shoes do not have a regular tongue opening hard to put on
1444,good purchase so far
2587,very happy with my purchase
5108,awesome size nb kicks
2616,really comfortable
48,possibly need to size up
4743,narrower than the previous ghost
2479,perfect fit for my neutral arched feet
8523,not as wide as venture extra wide e
5245,👌🏻
6232,running shoes
5238,comfortable for walking and working
6393,“insanely comfortable”
3778,great shoes
2728,perfect fit
4192,tongue on one shoe never stays straight
1731,so this is how shoes are supposed to feel
4532,better than hokas
8257,first bad pair of asics
844,sole cushion doesn t cover entire shoe
2390,needed zero breaking in
8238,quite good bit not exceptional in anyway
4351,great running shoes so far
496,i love the style of these shoes but when i received
1815,it is very comfortable running shoes
6139,no complaints
4459,nice shoe but not as comfortable as the ghost
3783,great shoes at an unbelievable price
293,live these so much i bought a second pair
2893,color does not match for piedmont grey as pictured
7207,third pair i have bought
7690,need to be change
588,junk
5276,some of the most comfortable sneakers i ve worn
7462,love
976,bottom is way too soft
3308,stiff and uncomfortable
3330,comfortable
4510,great shoe
8095,just numbers from using these shoes
5924,this lacing system breaks
2346,the size is tiny
4269,mirar bien la talla
7749,good shoe but strings attached
2312,new balance says made in america these were made china
6920,was good then not so much
2389,awesome shoes
6959,ua
4522,good shoe so far
7701,disappointed
4499,as described true to size great shoe
6871,two months and already falling apart
1524,they have fell apart in a month
6293,i love my new sneaks
3158,fit s better than most similar shoes
2468,comfortable
569,soles do not last
8002,love asics shoes
1576,just alright
5853,👟
2487,highly recommend great price
1740,attractive style that feels good on my feet
6383,great buy
7881,like so much i ordered another pair
4061,huge
8612,terrible quality
4332,way to small and really not wide enough
7383,lightweight
4880,product has changed
3825,super comfortable padded in sole
5107,i wasn’t prepared for this level of comfort and flexibility looks even nicer in person
8246,great shoes till it rains
8033,for the price i paid it last as much as the more expensive brooks shoes
7939,instantly the most comfortable pair of athletic shoes i ve ever owned
4708,great shoes
5580,great shoes
2886,i should have listend to my husband not good shoes
961,wouldn’t recommend
1185,great buy
2966,great shoe won’t last long
1840,replace the inserts
6089,comfortable but small
472,memory foam unique pattern may need to go size up
190,best easyvwalking shoes ever
7947,great shoes
695,average or wide feet need not apply
6840,clumsy
6408,super comfortable and lightweight running shoes
5237,walking on a cloud
840,these shoes stretch out
4515,overall solid choice
5677,narrow fit my feet lose feeling
2841,cushion galore
7799,great for foot and back issues
5936,could be more comfortable
5205,cute but runs big
3101,really comfy but not sturdy plantar fascia
5627,fashion shoe not fitness shoe
8044,long time wearer of asics athletic shoes
5817,too small
982,great shoe
2810,affordable reliable
4590,toe box too narrow and not high enough for hammertoes
4859,heel to toe drop is to high
2386,good for under pronating feet and arch support
5277,bellos nb
7229,nice in all black
5278,beautiful and comfortable
7384,best shoe i have purchased in a while
6940,poor shoe construction
4937,this version feels cheaply made
6979,not the best
450,i bought a second pair
6356,comfortable sneaker
7819,keep coming back to these good value
3635,great shoes
986,love these shoes
4117,tighter than other brands
4666,awesome arch and cushioning
7688,and just putting these on feels like standing on a hard floor
6933,too heavy for a running shoe
7203,tanjun is an excellent shoe
7603,be careful with sizing
6390,awesome shoes
4688,supportive shoe
3055,beware they charge you for returns
3869,no es un producto original es una pésima copia de muy mala calidad no puede siquiera usarse
390,best everyday shoe
4135,fit
7093,nike black rose
8206,ancient chinese secret
4342,great comfort for versatile workouts
4367,lovely for your heels
962,usually a great buy
5197,comfort and support
3599,good pair of shoes
2840,great shoe
1592,medium size is more like small
2676,wonderful shoes
2244,wears out fast
7343,speedy delivery and great fit
1514,item not as ordered
6111,worth every penny
4963,gorgeous shoe but to big
168,just bought my th pair i love them so much
6354,comfortable stylish sneakers
8625,poor quality
2052,comfortable
957,love the comfort but could use a couple of changes to the design
5953,narrow toes only
6488,very comfortable
5154,comfortable and nice looking
7569,too large
1761,very comfortable
3557,good shoes but not for running
3196,not the same
5929,poorly made
4660,great kicks
92,the most comfortable everyday sneakers
4767,rn
3050,look nice but seem like knock offs
3969,ok
3738,great deal
7899,great shoes
2201,tread wears off quickly
4533,shoes are great but color is off
1453,muy bueno
7105,most comfortable shoes
3080,not enough arch support
1480,wanted new road running shoes ended up with bloody blistered ankles
3453,great for wide feet
1237,under armour shoes fit and feel great
3390,memoryfoam lining and cushion softest shoe ive owned sorry no photos yet
7298,fits very well
1819,i m a fan
5404,i love these shoes comfortable and cute
3884,sizes are wrong
6504,defective after a short time can t return them
2429,size up if you re running
8216,the shoes are fine but the laces are horrible
4891,shoes only lasted months of moderate use
3497,nice looking shoes
1212,good shoe for the price
8029,reliable fit
5394,great walking shoe
4424,most comfortable
6565,too small
5938,don t buy
8501,very stiff
690,not the same as the exact same shoes i bought in store
6834,paracen unos tenis de mentira
228,comfortable
6814,good but not great
5162,finally a comfy sneaker
4448,comfortable light but awkward to put on
2725,so comfy
6773,superficial
2360,ok shoe
7597,two stars
1569,chinese counterfeits
7724,extra wide is extra awesome
5376,best sneakers i have ever bought
3541,exactly as advertised
1348,satisfactory
219,love
1552,too small
2636,wide but not too wide
7081,nike shoes
6478,comfortable and affordable
6952,runs small
3621,these fit tight
3838,comfortable
6213,fits great decent shoe
4600,great running shoe
1000,nice wide fit and comfortable
538,terrible
5517,awesome purchase
5873,comfy but wouldn’t purchase again
7540,shoelaces
4881,they ain t anything like the series
4149,so hot on my feet
3701,tongue slips
3219,wear inside heal of shoe
1155,all rounder
7317,great basic shoe
4827,comfortable
4730,i love these shoes
2056,as advertised
8267,great shoe but short laces
8313,comfort
8169,a quality
1110,this shoe is comfortable and light
197,definitely runs big
1012,why you always lying
2138,fit as expected
482,love these cute and cozy
3441,they look great
6298,stop going barefoot get some shoes
2556,great shoe
7417,perfect fit
2376,fits great
281,great shoes
370,love how they feel but
2268,returned
7572,inaccurate
6428,great show
6203,using for my daily run
6137,at last a perfect fit
2414,wide feet and planter fasciitis great sneakers 👍🏼👍🏼
7010,year old daughter loves them
1578,shoes did not come with a shoe box
348,cute but not for an athlete
3827,perfect
7018,light weight and cute
5999,people say new balance are good shoes i don t think so
8528,no shoes for you
7013,so comfy
850,i wish i had known to order in men s sizes
7851,solid shoe why the cheap laces
4144,uncomfortable for long standing walking
6813,rubber on sole falling off
4191,thought there be better arch support
6084,very comfortable from day one
6338,great lightweight shoes for running
158,comfy and cute workout shoes
4006,the soles are on crooked
8518,not true to size need to add another size up
7403,they were pefert
5916,shoes
7437,love the shoes
5183,great shoes so cute and comfy buy these
8215,updated review too tight and have not stretched out
4043,garbage laces buy replacements
5342,i would purchase them again
2874,run small and wore a hole in the back of the heel in just over month
5824,very comfortable but
5290,no break in period needed
2071,fantastic shoes
8510,the price is right
7369,great value
4225,don t bother terrible product
396,great everyday shoe
2572,no pain when walking
5611,disappointed at wear and tear after only months
8164,very confortable to wear bought a sercond pair
8531,don t do it
2731,comfortable but runs wide
2103,great shoe
2234,bottomed out quickly
78,lightweight sneaker
6365,unbeatable comfort and value
3606,good fit good price
8638,not great
1249,comfort and value
282,comfiest tennis shoes ever
8316,run very very small
4105,won t buy again
4839,shoe is not a normal brooks size
885,run away without these shoes on
8111,comfortable
6655,run size smaller
1418,comfy
6173,very comfortable shoes
931,not like the first pair
2710,check all my boxes
2005,shoes
6893,good feeling shoe but tread comes off in a few months
6873,good shoe but logo wears out quickly
4748,support is great
7354,they are a little big but very comfortable and great for running or
6480,like brooks
8314,too small
7051,perfect fit true to size
6582,finding good shoes that cater to over pronation is hard sad face
5784,sizing
4495,comfortable
2314,trash
7599,very supported not red
5613,great fit short life made for indoor use only
4027,get larger
258,if your aim is to be environmentally friendly these shoes are good but
4388,most comfortable shoes i ever owned but they have a very short life and get dirty very quickly
8449,cheap knockoffs
5709,painful
341,lightweight high support
2231,squeaky shoes
5434,love these shoes
6851,shoes stick to the ground well
2783,most comfortable shoes since my baby shoes
8091,great shoe
1366,great shoes
7267,nike tanjun
1866,solid running shoe that comes in extra wide sizes and great price
2811,great sneakers
752,you get what you pay for
6471,it s a good all around shoe
7377,my daughter is really happy
2290,disappointed
3848,my nd pair happy i found them
7147,comfortable
3992,not worth the money
8644,not as well made as previous models
2720,love it love the brand too
3711,great sneakers i bought this after my adidas running
6539,dissatisfied
5027,rubber pulling away from the bottom of the shoe
8304,lower price point cheaper construction
2789,size up
8525,cheap
6211,love them
4272,🤦🏽‍♀️
5490,runs really big
955,super comfortable but don’t last long
2784,perfect for me
5212,love them
5828,hard to slip on
5220,muy buena calidad
3531,shoe size
5990,disappointed wrong shoe color was being shipped and canceled reordered still received wrong one
3523,bought for my husband but am having him help me review the product
3349,clarify amazon orders filled by other companies
3698,good
6786,nice looking shoe but too small
6917,don’t buy for running
8584,pay more get more
1125,very comfortable
8034,outstanding shoe
3897,a flew blisters
1562,zero comfort
1674,worlds most perfect shoe
5983,very poor fit
758,very small and not great
350,great running shoe
804,i was sent a used product
5809,too narrow
3648,perfect fit
3683,it s a nice pair of sneakers
5728,painful snug fit poor construction
5874,tear on the top in just one month
2044,nice looking shoe
7625,not great
5646,snug fit even for a tennis show
3516,good looking retro shoe
8307,sole tip coming unglued months in without daily use
3710,great shoes
8320,nice looking shoe way too small
4800,attractive with narrow width
2578,super comfy definitely runs small
1910,nice
8100,fits perfectly
6118,well built walk miles a day no problem
5073,wore out too fast
1654,size
120,most comfortable shoes ever
347,very comfortable light weighted sneaker
5995,could not get on
51,flattering comfortable light weight
7375,super comfy
4812,comfortable
4297,wasnt happy
7039,super comfy
5624,opening is too small
1790,comfortable
7912,love these
8089,excellent
7464,nice
250,comfortable cute functional
4735,very comfortable fits perfect
4320,way to small
3765,thanks
3544,gorgeous shoe perfect fit
6961,fit decently and felt comfy but only lasted a month
908,nope
4189,three stars
7553,ordered black surprised me with white
6604,buy inserts before using
1521,not realy wide
5047,bought may sole has already seperated
1142,great shoe
3303,arrived used and dirty
5379,they fit well
7090,really cute
2554,great shoe
7413,perfect
1874,comfortable
8536,too small for a wide color me badd
715,not great
1518,se ven bien pero incómodos para estar de pie
4157,comfort
209,great shoes for everyday use
2098,good shoe
8633,great initially wears down fast
5671,made by elves made for elves
5048,degraded quality
3762,love them
5158,great shoes and great comfort
956,these are narrow
4387,outstanding shoes
6141,nice shoe for the money but size runs small
5738,weirdest heel ever
5093,fair quality and comfortable but didn t last
6479,comfortable with the right socks
6689,not impressed
6626,looks nice little arch support
4987,shoe fell apart after months but brooks provided great customer service
267,pretty solid shoes
6761,broke on the second day
5931,used product but says new
139,comfortable
1775,good fit and very confortable
3464,sneaker is cut small buy a little bigger
6562,worst shoes ever
2846,runs small
533,cute shoes but misleading name
4291,soul separated from shoe
6666,buyer beware not a quality product
4437,great shoes for those with bad knees hips
1636,size
4650,i ve had plantar fasciitis in this shoe i find comfort
7754,oops in shipping but good shoe
5196,not a true wide shoe
4929,great on the outside
1631,color
7795,a great shoe for a novice runner like me
2779,comfortable attractive durable
7786,very solid not knock offs
173,comfortability
6644,just ok
6532,heavy for running
2648,good walking and jogging shoes for dry roads
7800,great for cross training fit is perfect
35,lightweight and comfortable perfect running shoe or lifestyle sneaker
7288,perfect fit
5424,as pictured expected
4378,brooks ghost running shoes continue to establish the highest bar in running shoes
7562,uncomfortable
2931,not quality
7082,gift for my partner
3048,too short
3260,nice looking shoe but
4106,good
4173,make sure you try these on asap i didn t and it s too late for me to return
901,walmart has a shoe worth the price
641,needs firmer cushioning that will last
987,very roomy fit exceptional quality for the price
243,awesome shoes
126,love
1014,really pleased
4266,great looking uncomfortable shoes
8067,good walking hiking shoes
47,order a half size smaller
5286,so comfortable
7962,nice fit
2017,comfort
7011,only tolerable nike in wide
4857,nice shoe material rips easily
1643,no support no comfort not for running
8436,not my e
6667,just ok
6273,shoes
1362,no surprises
6151,very nice but foot tends to slip to the front
2546,great fit
8513,they re ok
6182,great shoe but didn t work out for me
6817,doesn’t hold up
760,cute but runs large
3474,amazing
1800,confort and durability
875,comfortable for casual usage
2342,not comfortable
2050,bright color comfy fit
4642,top of the line
44,rough around the edges but very comfortable
7284,very comfortable shoe perfect gift
7883,perfect gift
5395,great shoe
2489,asics trail shoe
4228,three stars
5327,cute style and colors
4986,shoe breaks down quickly
4465,first pair started falling apart after a year or two but support so good i bought nd pair
3288,hard
6255,super comfortable
7739,excellent upgrade from the gel contend model
7145,love these
8666,these run a size too small
2334,bit expensive compare to actual product
7244,comfort and support
3877,get ready to bleed
8040,will buy these more often
4126,good shoe for the money
406,great sneaker
2438,perfect fit and very comfortable
1677,sizing issues but okay
1833,petfect
6069,very happy highly recommended
312,amazingly comfortable
6386,walking on air
5288,awesome shoes
3670,absolutely perfect for me
7266,love
4535,perfect
7509,comfortable shoe
7292,fast delivery
8516,beware inferior quality
2995,didn t like them at all
6310,more durable than reeboks
5359,comfortable
726,the only running you should be doing in this shoe is into target
5894,wish i would have sized up a half size
7544,terrible terrible terrible
1728,an extra wide colorful shoe ‼️
8688,good for months
2301,returned
5080,comfort
6856,didn’t get what i ordered
3764,valen la pena
709,do not buy
1667,fitting ok light and comfortable enough room to put a gel insole
3127,cheap
1630,fit
2130,fit well
1898,beautiful and comfortable
6951,the shoes do not hold up
1002,comfortable
731,the upper tongue is too stiff
7966,on my list
6631,cheap
136,super cute but different than expected
624,careful they can run big in size and you may trip over the toes of the shoe
1042,good balance
5126,actually fits
768,too tight
4635,nice quality
4975,lack of support compared to other brooks ghost line
1009,fits well
2875,not sure they are authentic
3287,too narrow
6987,misleading
1902,excellent shoe
3608,love them
6148,very satisfied
2591,asics delivers as usual their quality is
8008,light and comfortable without the price tag
7293,i love these shoes
5400,not for running
1215,great buy
2232,how i feel about these shoes
843,hole begining after only months
8407,made in vietnam order one size up
4768,ghost e fit as expected
2230,the keyword is midiocre
8066,i finally found a pair of athletic shoes that fit my wide feet
8077,great shoes
1743,i love it
3652,happy mama
1869,perfect for thick ankle and feet
7341,great shoes
5538,supportive and great for work
1959,love nb
5163,favorite sneakers comfy even on my wide thick feet
1455,will not be disappointed
2066,good value
6778,felt good to start
3339,shoe disappointment
4640,sleek
3027,comfy but falling apart
5219,non leather sneakers
3386,great sneakers great price
7796,comfy and good fit
4432,makes my feet hot
2760,super comfortable with the gel soles
2139,best running shoe
711,not super supportive for running
8106,good value
7096,nike shoe
7853,great price
1186,nice looking shoe
6122,great running shoes but change out soles
6234,i love this shoe
7282,shoes
6718,good for a while
1894,great price
1335,good quality
6394,great shoe for price
6966,my poor heel
1855,comfort
1710,good shoe
7086,great shoes
863,not durable
4137,ouch
4874,received a returned pair
5313,cloud
3336,comfy but not durable
3246,buy a half size larger
3397,order size bigger
42,cute shoes but tying them takes practice
4037,it is unfortunate as i have had fairly good luck with the puma brand in the past
2413,my go to athletic shoe
921,cushy
5298,good shoes
6605,painful and cheap
906,gave me severe pain in my tendons
1201,great shoe
6836,nice looking shoe
4897,don’t waste your money
7256,love my item
1330,loved the shoes great quality and great price
4304,great looking true uncomfortable fit
754,not a running shoe
2847,go up a half size
3091,shoe falls apart
7977,very comfortable great price
2968,don’t get
2775,good for running with wide feet
6906,shoes falling apart after only two months
2000,good value for the price stick to pavement
5839,had yellow like dog pee horrible
4834,the weakest heel in running shoes period
2856,good quality running shoes
2258,narrow and run small
4316,not right size
3957,tight as in the fit
368,comfortable
4311,three stars
5977,not for me
2704,great price for an amazing shoe
5426,the most comfortable shoes
25,nice looking pair of sneakers
1527,great shoes at first
5858,hole on the toe
2362,not for wide feet that for sure
334,cute but only for casual wear and runs big
3108,feels like a cheap knockoff
3790,comfortable
7834,runs a little small
4867,must have just been this shoe
7135,nice shoes
4271,unhappy
7286,i think it may ware out sooner than a high priced shoe but is very comfortable to wear
7083,cute
2119,as expected
2485,the laces material
3351,still prefer my trail running
914,came with no laces
6087,there not ultra lite running shoes but husband loves them
1175,running shoes
1852,good shoe collects rocks
2193,toe sole came unglued
1393,good for working out and walking all day
5526,i can run again
8315,normally an medium is my size
1220,comfortable and light
2247,shoe
2126,new balance
7623,one star
18,so comfy
8174,good running sneaker for winter runs
7355,just right everyday sneakers
6515,terrible running shoes
3823,buen calzado
1542,not much cushion
2620,inaccurate color description
5151,amazing shoes
763,just okay weird insoles
7529,sneaker
5713,don’t bother
984,great all purpose shoe
8301,size fit like i had to return them back
1660,too tight
2714,very comfortable and stylish
230,buying in more colors arch support is great
4504,great sneaker
8592,comodidad pero mala calidad
4878,didn t work for me
3203,disappointed
766,not great for running
4036,pay atettion what you doing
6485,good walking shoes
1132,excellent running walking shoe
248,most comfortable shoes i have ever owned
7815,wide was too wide
1531,the lining fails too soon
8667,knock off clone product please go to your local store stay away from this
1003,stylish shoes for wide feet
2614,cute and comfortable but runs a little small
4863,disappointed
4488,very comfortable shoe
3706,i will order puma shoes again
5389,great shoe
1145,great shoe
5880,fit
4257,very disappointed have owned pumas very similar in the past
8131,best shoe i ever owned buy it
2073,comfortable with good support
1174,very comfortable
2937,size is exactly the same as w disappointing
7346,great buy
2829,these trail runners get the job done
4608,brooks only
1109,great shoes
2034,they fit true to size
242,the bomb
479,excelent
6186,impressed
5604,disappointing
8566,most uncomfortable
7279,great buy
1918,would buy over and over
4958,fell apart in two months
8683,shoes are great shoestrings are the worst i’ve seen
2217,comfortable but cheaply made
3387,worth every penny
675,not good for running
1034,best in style and comfor
